POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
1,Shubman GillGT,17,17,2,890,129,59.33,564,157.80,3,4,85,33,2023
2,Faf Du PlessisRCB,14,14,1,730,84,56.15,475,153.68,0,8,60,36,2023
3,Devon ConwayCSK,16,15,2,672,92*,51.69,481,139.70,0,6,77,18,2023
4,Virat KohliRCB,14,14,2,639,101*,53.25,457,139.82,2,6,65,16,2023
5,Yashasvi JaiswalRR,14,14,1,625,124,48.08,382,163.61,1,5,82,26,2023
6,Suryakumar YadavMI,16,16,2,605,103*,43.21,334,181.13,1,5,65,28,2023
7,Ruturaj GaikwadCSK,16,15,1,590,92,42.14,400,147.50,0,4,46,30,2023
8,David WarnerDC,14,14,0,516,86,36.86,392,131.63,0,6,69,10,2023
9,Rinku SinghKKR,14,14,6,474,67*,59.25,317,149.52,0,4,31,29,2023
10,Ishan KishanMI,15,15,0,454,75,30.27,318,142.76,0,3,54,18,2023
11,Cameron GreenMI,16,16,7,452,100*,50.22,282,160.28,1,2,40,22,2023
12,Heinrich KlaasenSRH,12,11,2,448,104,49.78,253,177.07,1,2,32,25,2023
13,Shivam DubeCSK,16,14,3,418,52,38.00,264,158.33,0,3,12,35,2023
14,Nitish RanaKKR,14,14,1,413,75,31.77,293,140.95,0,3,39,20,2023
15,Marcus StoinisLSG,15,15,2,408,89*,31.38,272,150.00,0,3,28,27,2023
16,Venkatesh IyerKKR,14,14,0,404,104,28.86,277,145.84,1,2,32,21,2023
17,Glenn MaxwellRCB,14,14,2,400,77,33.33,218,183.48,0,5,29,31,2023
18,Jos ButtlerRR,14,14,0,392,95,28.00,282,139.00,0,4,42,14,2023
19,Kyle MayersLSG,13,13,0,379,73,29.15,263,144.10,0,4,38,22,2023
20,Shikhar DhawanPBKS,11,11,2,373,99*,41.44,261,142.91,0,3,49,12,2023
21,Wriddhiman SahaGT,17,17,1,371,81,23.19,287,129.26,0,2,47,8,2023
22,Sanju SamsonRR,14,14,2,362,66*,30.17,236,153.38,0,3,25,24,2023
23,Sai SudharsanGT,8,8,1,362,96,51.71,256,141.40,0,3,33,12,2023
24,Nicholas PooranLSG,15,15,3,358,62,29.83,207,172.94,0,2,26,26,2023
25,Simran SinghPBKS,14,14,0,358,103,25.57,238,150.42,1,1,38,19,2023
26,Hardik PandyaGT,16,15,4,346,66,31.45,253,136.75,0,2,26,15,2023
27,Tilak VarmaMI,11,11,3,343,84*,42.88,209,164.11,0,1,26,23,2023
28,Rohit SharmaMI,16,16,0,332,65,20.75,250,132.80,0,2,35,17,2023
29,Ajinkya RahaneCSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,2023
30,Jitesh SharmaPBKS,14,14,1,309,49*,23.77,198,156.06,0,0,22,21,2023
31,Vijay ShankarGT,14,10,2,301,63*,37.63,188,160.10,0,3,27,15,2023
32,Shimron HetmyerRR,14,13,5,300,56*,37.50,197,152.28,0,1,12,23,2023
33,Jason RoyKKR,8,8,0,285,61,35.63,188,151.59,0,2,36,12,2023
34,Axar PatelDC,14,13,3,283,54,28.30,203,139.40,0,1,21,15,2023
35,Liam LivingstonePBKS,9,9,1,279,94,34.88,171,163.15,0,2,20,19,2023
36,Sam CurranPBKS,14,13,3,276,55,27.60,203,135.96,0,1,20,13,2023
37,K L RahulLSG,9,9,1,274,74,34.25,242,113.22,0,2,28,4,2023
38,Rahul TripathiSRH,13,13,1,273,74*,22.75,213,128.16,0,1,29,10,2023
39,Mayank AgarwalSRH,10,10,0,270,83,27.00,210,128.57,0,1,29,6,2023
40,Devdutt PadikkalRR,11,11,1,261,52,26.10,200,130.50,0,2,31,6,2023
41,David MillerGT,16,13,5,259,46,32.38,178,145.50,0,0,18,13,2023
42,Aiden MarkramSRH,13,13,2,248,50,22.55,197,125.88,0,1,18,8,2023
43,Nehal WaderaMI,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023
44,Ayush BadoniLSG,15,12,2,238,59*,23.80,172,138.37,0,1,13,12,2023
45,Tim DavidMI,16,15,6,231,45*,25.67,146,158.21,0,0,12,15,2023
46,Andre RussellKKR,14,14,3,227,42,20.64,156,145.51,0,0,13,18,2023
47,Rahmanullah GurbazKKR,11,11,0,227,81,20.64,170,133.52,0,2,17,15,2023
48,Abhishek SharmaSRH,11,11,0,226,67,20.55,157,143.94,0,2,28,6,2023
49,Phil SaltDC,9,9,1,218,87,27.25,133,163.90,0,2,24,10,2023
50,Rilee RossouwDC,9,9,2,209,82*,29.86,141,148.22,0,1,17,11,2023
51,Ravindra JadejaCSK,16,12,4,190,25*,23.75,133,142.85,0,0,11,9,2023
52,Harry BrookSRH,11,11,2,190,100*,21.11,154,123.37,1,0,23,4,2023
53,Krunal PandyaLSG,15,14,4,188,49*,18.80,165,113.93,0,0,15,6,2023
54,Atharva TaidePBKS,7,7,0,186,66,26.57,129,144.18,0,2,20,6,2023
55,Abdul SamadSRH,9,8,4,169,37*,42.25,128,132.03,0,0,10,11,2023
56,Manish PandeyDC,10,9,0,160,50,17.78,146,109.58,0,1,15,3,2023
57,Ambati RayuduCSK,16,12,2,158,27*,15.80,113,139.82,0,0,10,9,2023
58,Shahrukh KhanPBKS,14,13,6,156,41*,22.29,94,165.95,0,0,13,9,2023
59,Dhruv JurelRR,13,11,4,152,34*,21.71,88,172.72,0,0,11,9,2023
60,Quinton De KockLSG,4,4,0,143,70,35.75,102,140.19,0,1,10,8,2023
61,Dinesh KarthikRCB,13,13,1,140,30,11.67,104,134.61,0,0,13,5,2023
62,Sikandar RazaPBKS,7,7,2,139,57,27.80,98,141.83,0,1,10,6,2023
63,Mahipal LomrorRCB,12,10,2,135,54*,16.88,97,139.17,0,1,9,8,2023
64,Rashid KhanGT,17,9,5,130,79*,32.50,60,216.66,0,1,8,13,2023
65,Mitchell MarshDC,9,9,0,128,63,14.22,97,131.95,0,1,11,7,2023
66,Moeen AliCSK,15,10,3,124,23,17.71,91,136.26,0,0,12,6,2023
67,Matthew ShortPBKS,6,6,0,117,36,19.50,92,127.17,0,0,15,4,2023
68,Abhinav ManoharGT,9,6,0,114,42,19.00,83,137.34,0,0,6,7,2023
69,Shardul ThakurKKR,11,10,2,113,68,14.13,70,161.42,0,1,13,4,2023
70,Aman KhanDC,11,9,1,110,51,13.75,101,108.91,0,1,7,6,2023
71,Prithvi ShawDC,8,8,0,106,54,13.25,85,124.70,0,1,16,1,2023
72,Anmolpreet SinghSRH,4,4,0,105,36,26.25,82,128.04,0,0,15,2,2023
73,MS DhoniCSK,16,12,8,104,32*,26.00,57,182.45,0,0,3,10,2023
74,Prerak MankadLSG,5,5,2,93,64*,31.00,72,129.16,0,1,12,2,2023
75,Anuj RawatRCB,9,7,4,91,29*,30.33,71,128.16,0,0,6,4,2023
76,Jagadeesan NarayanKKR,6,6,0,89,36,14.83,81,109.87,0,0,14,1,2023
77,Rahul TewatiaGT,17,10,6,87,20*,21.75,57,152.63,0,0,3,7,2023
78,Deepak HoodaLSG,12,12,1,84,17,7.64,90,93.33,0,0,3,2,2023
79,Riyan ParagRR,7,7,1,78,20,13.00,66,118.18,0,0,4,5,2023
80,Harpreet BhatiaPBKS,3,3,0,77,41,25.67,59,130.50,0,0,8,3,2023
81,Bhanuka RajapaksaPBKS,4,4,1,71,50,23.67,62,114.51,0,1,6,2,2023
82,Vivrant SharmaSRH,3,1,0,69,69,69.00,47,146.80,0,1,9,2,2023
83,Ravichandran AshwinRR,13,10,4,67,30,11.17,51,131.37,0,0,5,3,2023
84,Lalit YadavDC,6,6,1,66,38,13.20,59,111.86,0,0,8,0,2023
85,Krishnappa GowthamLSG,7,7,3,61,23,15.25,37,164.86,0,0,2,5,2023
86,Washington SundarSRH,7,5,1,60,24*,15.00,60,100.00,0,0,6,0,2023
87,Michael BracewellRCB,5,4,2,58,26,29.00,47,123.40,0,0,6,1,2023
88,Sarfaraz KhanDC,4,4,0,53,30,13.25,62,85.48,0,0,4,1,2023
89,Harpreet BrarPBKS,13,8,2,52,17*,8.67,41,126.82,0,0,5,2,2023
90,Ripal PatelDC,5,4,1,49,23,16.33,43,113.95,0,0,3,1,2023
91,Shahbaz AhmedRCB,10,6,2,42,20*,10.50,39,107.69,0,0,3,1,2023
92,Bhuvneshwar KumarSRH,14,6,3,42,27,14.00,47,89.36,0,0,4,0,2023
93,Glenn PhillipsSRH,5,5,0,39,25,7.80,22,177.27,0,0,2,4,2023
94,Marco JansenSRH,8,6,3,39,17*,13.00,43,90.69,0,0,4,0,2023
95,Anrich NortjeDC,10,7,4,37,23*,12.33,29,127.58,0,0,6,0,2023
96,Vishnu VinodMI,3,3,0,37,30,12.33,31,119.35,0,0,2,2,2023
97,Suyash S PrabhudessaiRCB,5,4,0,35,19,8.75,29,120.68,0,0,1,2,2023
98,David WilleyRCB,4,3,3,35,20*,-,32,109.37,0,0,4,0,2023
99,Wanindu HasarangaRCB,8,5,3,33,12*,16.50,28,117.85,0,0,3,0,2023
100,Abishek PorelDC,4,4,0,33,20,8.25,31,106.45,0,0,1,2,2023
101,Kuldeep YadavDC,14,10,8,31,10*,15.50,48,64.58,0,0,2,0,2023
102,Dasun ShanakaGT,3,3,1,26,17,13.00,26,100.00,0,0,2,1,2023
103,Piyush ChawlaMI,16,4,2,25,18,12.50,22,113.63,0,0,1,1,2023
104,Tristan StubbsMI,2,2,0,25,20,12.50,31,80.64,0,0,2,0,2023
105,Hrithik ShokeenMI,8,3,2,23,18*,23.00,17,135.29,0,0,4,0,2023
106,Anukul RoyKKR,4,4,2,23,13*,11.50,19,121.05,0,0,3,0,2023
107,Adil RashidSRH,2,2,0,22,18,11.00,16,137.50,0,0,2,1,2023
108,Priyam GargDC,2,2,0,22,12,11.00,23,95.65,0,0,1,0,2023
109,David WieseKKR,3,3,2,21,12*,21.00,11,190.90,0,0,0,3,2023
110,Mayank MarkandeSRH,10,3,3,21,18*,-,13,161.53,0,0,2,1,2023
111,Sunil NarineKKR,14,10,3,21,7*,3.00,25,84.00,0,0,2,1,2023
112,Rishi DhawanPBKS,6,3,1,20,19,10.00,12,166.66,0,0,1,1,2023
113,Ravi BishnoiLSG,15,7,4,20,5,6.67,27,74.07,0,0,1,0,2023
114,Umran MalikSRH,8,2,1,19,19*,19.00,8,237.50,0,0,1,2,2023
115,Umesh YadavKKR,8,5,3,19,6*,9.50,18,105.55,0,0,1,0,2023
116,Amit MishraLSG,7,1,0,19,19,19.00,30,63.33,0,0,2,0,2023
117,Arshad KhanMI,6,3,1,18,15*,9.00,15,120.00,0,0,0,1,2023
118,Akash DeepRCB,2,1,0,17,17,17.00,8,212.50,0,0,2,1,2023
119,Akeal HoseinSRH,1,1,1,16,16*,-,10,160.00,0,0,1,1,2023
120,Trent BoultRR,10,4,3,16,15,16.00,14,114.28,0,0,1,1,2023
121,Praveen DubeyDC,1,1,0,16,16,16.00,20,80.00,0,0,2,0,2023
122,Naveen-ul-HaqLSG,8,3,2,16,13,16.00,21,76.19,0,0,2,0,2023
123,Yash DhullDC,4,3,0,16,13,5.33,23,69.56,0,0,1,0,2023
124,Ben StokesCSK,2,2,0,15,8,7.50,14,107.14,0,0,2,0,2023
125,Mandeep SinghKKR,3,3,0,14,12,4.67,16,87.50,0,0,0,1,2023
126,Arjun TendulkarMI,4,1,0,13,13,13.00,9,144.44,0,0,0,1,2023
127,Vyshak VijaykumarRCB,7,2,1,13,13*,13.00,9,144.44,0,0,0,1,2023
128,Kedar JadhavRCB,2,1,1,12,12*,-,10,120.00,0,0,1,0,2023
129,Jason HolderRR,8,3,1,12,11,6.00,11,109.09,0,0,0,1,2023
130,Karan SharmaLSG,2,2,0,12,9,6.00,21,57.14,0,0,0,0,2023
131,Mark WoodLSG,4,2,1,11,10*,11.00,5,220.00,0,0,1,1,2023
132,Sanvir SinghSRH,2,2,1,11,7,11.00,9,122.22,0,0,1,1,2023
133,Manan VohraLSG,1,1,0,10,10,10.00,11,90.90,0,0,1,0,2023
134,Joe RootRR,3,1,0,10,10,10.00,15,66.66,0,0,1,0,2023
135,Adam ZampaRR,6,3,0,10,7,3.33,16,62.50,0,0,0,0,2023
136,Jaydev UnadkatLSG,3,1,0,9,9,9.00,7,128.57,0,0,1,0,2023
137,Noor AhmadGT,13,3,1,8,7*,4.00,9,88.88,0,0,1,0,2023
138,Mukesh KumarDC,10,3,3,7,6*,-,9,77.77,0,0,0,0,2023
139,Rovman PowellDC,3,3,0,7,4,2.33,9,77.77,0,0,1,0,2023
140,Alzarri JosephGT,7,2,2,7,7*,-,12,58.33,0,0,1,0,2023
141,Harshal PatelRCB,13,2,0,6,6,3.00,6,100.00,0,0,0,1,2023
142,Kumar Kartikeya SinghMI,8,1,0,6,6,6.00,7,85.71,0,0,1,0,2023
143,Jason BehrendorffMI,12,2,2,6,3*,-,9,66.66,0,0,0,0,2023
144,Chris JordanMI,6,2,0,6,4,3.00,12,50.00,0,0,0,0,2023
145,Mohammad ShamiGT,17,2,0,5,5,2.50,6,83.33,0,0,1,0,2023
146,Liton DasKKR,1,1,0,4,4,4.00,4,100.00,0,0,1,0,2023
147,Jofra ArcherMI,5,2,2,4,3*,-,4,100.00,0,0,0,0,2023
148,Chetan SakariyaDC,2,2,1,4,4,4.00,6,66.66,0,0,1,0,2023
149,Vaibhav AroraKKR,5,2,2,3,2*,-,2,150.00,0,0,0,0,2023
150,Karn SharmaRCB,7,2,0,3,2,1.50,5,60.00,0,0,0,0,2023
151,Arshdeep SinghPBKS,14,2,2,2,2*,-,2,100.00,0,0,0,0,2023
152,Mitchell SantnerCSK,3,2,2,2,1*,-,4,50.00,0,0,0,0,2023
153,Swapnil SinghLSG,2,1,1,2,2*,-,4,50.00,0,0,0,0,2023
154,Wayne ParnellRCB,7,1,0,2,2,2.00,5,40.00,0,0,0,0,2023
155,Sandeep SharmaRR,12,2,2,2,2*,-,6,33.33,0,0,0,0,2023
156,Mustafizur RahmanDC,2,1,1,1,1*,-,1,100.00,0,0,0,0,2023
157,Ishant SharmaDC,8,1,1,1,1*,-,1,100.00,0,0,0,0,2023
158,Abdul BasithRR,1,1,1,1,1*,-,1,100.00,0,0,0,0,2023
159,Deepak ChaharCSK,10,1,1,1,1*,-,2,50.00,0,0,0,0,2023
160,Mohit RatheePBKS,1,1,1,1,1*,-,2,50.00,0,0,0,0,2023
161,Josh HazlewoodRCB,3,1,1,1,1*,-,2,50.00,0,0,0,0,2023
162,Mohammed SirajRCB,14,2,1,1,1*,1.00,2,50.00,0,0,0,0,2023
163,Yudhvir SinghLSG,3,2,0,1,1,0.50,2,50.00,0,0,0,0,2023
164,Fazalhaq FarooqiSRH,4,1,1,1,1*,-,5,20.00,0,0,0,0,2023
165,Nathan EllisPBKS,10,2,0,1,1,0.50,7,14.28,0,0,0,0,2023
166,Varun ChakaravarthyKKR,14,2,1,1,1,1.00,9,11.11,0,0,0,0,2023
1,Jos ButtlerRR,17,17,2,863,116,57.53,579,149.05,4,4,83,45,2022
2,K L RahulLSG,15,15,3,616,103*,51.33,455,135.38,2,4,45,30,2022
3,Quinton De KockLSG,15,15,1,508,140*,36.29,341,148.97,1,3,47,23,2022
4,Hardik PandyaGT,15,15,4,487,87*,44.27,371,131.26,0,4,49,12,2022
5,Shubman GillGT,16,16,2,483,96,34.50,365,132.32,0,4,51,11,2022
6,David MillerGT,16,16,9,481,94*,68.71,337,142.72,0,2,32,23,2022
7,Faf Du PlessisRCB,16,16,1,468,96,31.20,367,127.52,0,3,49,13,2022
8,Shikhar DhawanPBKS,14,14,2,460,88*,38.33,375,122.66,0,3,47,12,2022
9,Sanju SamsonRR,17,17,1,458,55,28.63,312,146.79,0,2,43,26,2022
10,Deepak HoodaLSG,15,14,0,451,59,32.21,330,136.66,0,4,36,18,2022
11,Liam LivingstonePBKS,14,14,2,437,70,36.42,240,182.08,0,4,29,34,2022
12,David WarnerDC,12,12,3,432,92*,48.00,287,150.52,0,5,52,15,2022
13,Abhishek SharmaSRH,14,14,0,426,75,30.43,320,133.12,0,2,47,13,2022
14,Ishan KishanMI,14,14,1,418,81*,32.15,348,120.11,0,3,45,11,2022
15,Rahul TripathiSRH,14,14,3,413,76,37.55,261,158.23,0,3,40,20,2022
16,Shreyas IyerKKR,14,14,1,401,85,30.85,298,134.56,0,3,41,11,2022
17,Tilak VarmaMI,14,14,3,397,61,36.09,303,131.02,0,2,29,16,2022
18,Aiden MarkramSRH,14,12,4,381,68*,47.63,274,139.05,0,3,25,19,2022
19,Devdutt PadikkalRR,17,17,0,376,54,22.12,306,122.87,0,1,40,14,2022
20,Ruturaj  GaikwadCSK,14,14,0,368,99,26.29,291,126.46,0,3,33,14,2022
21,Nitish RanaKKR,14,14,1,361,57,27.77,251,143.82,0,2,29,22,2022
22,Virat KohliRCB,16,16,1,341,73,22.73,294,115.98,0,2,32,8,2022
23,Rishabh PantDC,14,13,2,340,44,30.91,224,151.78,0,0,35,16,2022
24,Andre RussellKKR,14,12,3,335,70*,37.22,192,174.47,0,1,18,32,2022
25,Rajat PatidarRCB,8,7,1,333,112*,55.50,218,152.75,1,2,27,18,2022
26,Dinesh KarthikRCB,16,16,10,330,66*,55.00,180,183.33,0,1,27,22,2022
27,Wriddhiman SahaGT,11,11,1,317,68,31.70,259,122.39,0,3,40,7,2022
28,Shimron HetmyerRR,15,15,8,314,59*,44.86,204,153.92,0,1,21,21,2022
29,Nicholas PooranSRH,14,13,5,306,64*,38.25,212,144.33,0,2,16,21,2022
30,Suryakumar YadavMI,8,8,1,303,68*,43.29,208,145.67,0,3,23,16,2022
31,Glenn MaxwellRCB,13,13,2,301,55,27.36,178,169.10,0,1,31,15,2022
32,Shivam DubeCSK,11,11,1,289,95*,28.90,185,156.21,0,2,22,16,2022
33,Prithvi ShawDC,10,10,0,283,61,28.30,185,152.97,0,2,37,10,2022
34,Ambati RayuduCSK,13,11,0,274,78,24.91,224,122.32,0,1,25,15,2022
35,Rohit SharmaMI,14,14,0,268,48,19.14,223,120.17,0,0,28,13,2022
36,Yashasvi JaiswalRR,10,10,0,258,68,25.80,194,132.98,0,2,28,10,2022
37,Jonny BairstowPBKS,11,11,0,253,66,23.00,175,144.57,0,2,34,9,2022
38,Devon ConwayCSK,7,7,1,252,87,42.00,173,145.66,0,3,22,12,2022
39,Mitchell MarshDC,8,8,0,251,89,31.38,189,132.80,0,2,19,14,2022
40,Rovman PowellDC,14,12,2,250,67*,25.00,167,149.70,0,1,10,22,2022
41,Moeen AliCSK,10,10,0,244,93,24.40,177,137.85,0,1,24,11,2022
42,Jitesh SharmaPBKS,12,10,2,234,44,29.25,143,163.63,0,0,22,12,2022
43,MS DhoniCSK,14,13,6,232,50*,33.14,188,123.40,0,1,21,10,2022
44,Robin UthappaCSK,12,11,0,230,88,20.91,171,134.50,0,2,19,14,2022
45,Shahbaz AhmedRCB,16,11,3,219,45,27.38,181,120.99,0,0,14,9,2022
46,Rahul TewatiaGT,16,12,5,217,43*,31.00,147,147.61,0,0,22,9,2022
47,Kane WilliamsonSRH,13,13,2,216,57,19.64,231,93.50,0,1,16,8,2022
48,Bhanuka RajapaksaPBKS,9,9,0,206,43,22.89,129,159.68,0,0,16,13,2022
49,Mayank AgarwalPBKS,13,12,0,196,52,16.33,160,122.50,0,1,23,6,2022
50,Ravichandran AshwinRR,17,12,5,191,50,27.29,135,141.48,0,1,14,9,2022
51,Tim DavidMI,8,8,3,186,46,37.20,86,216.27,0,0,12,16,2022
52,Riyan ParagRR,17,14,3,183,56*,16.64,132,138.63,0,1,11,10,2022
53,Krunal PandyaLSG,14,13,4,183,42,20.33,145,126.20,0,0,16,4,2022
54,Axar PatelDC,13,10,6,182,42*,45.50,120,151.66,0,0,12,10,2022
55,Venkatesh IyerKKR,12,12,1,182,50*,16.55,169,107.69,0,1,17,7,2022
56,Rinku SinghKKR,7,7,2,174,42*,34.80,117,148.71,0,0,17,7,2022
57,Sam BillingsKKR,8,8,1,169,36,24.14,138,122.46,0,0,9,10,2022
58,Dewald BrevisMI,7,7,0,161,49,23.00,113,142.47,0,0,14,11,2022
59,Ayush BadoniLSG,13,11,3,161,54,20.13,130,123.84,0,1,11,7,2022
60,Lalit YadavDC,12,8,1,161,48*,23.00,146,110.27,0,0,11,7,2022
61,Matthew WadeGT,10,10,0,157,35,15.70,138,113.76,0,0,23,2,2022
62,Marcus StoinisLSG,11,10,2,156,38*,19.50,106,147.16,0,0,7,13,2022
63,Sai SudharsanGT,5,5,1,145,65*,36.25,114,127.19,0,1,14,3,2022
64,Kieron PollardMI,11,11,1,144,25,14.40,134,107.46,0,0,6,9,2022
65,Ajinkya RahaneKKR,7,7,0,133,44,19.00,128,103.90,0,0,14,4,2022
66,Anuj RawatRCB,8,8,0,129,66,16.13,118,109.32,0,1,10,7,2022
67,Shardul ThakurDC,14,10,2,120,29*,15.00,87,137.93,0,0,7,7,2022
68,Shahrukh KhanPBKS,8,8,1,117,26,16.71,108,108.33,0,0,4,9,2022
69,Ravindra JadejaCSK,10,10,4,116,26*,19.33,98,118.36,0,0,6,5,2022
70,Abhinav ManoharGT,8,7,1,108,43,18.00,75,144.00,0,0,14,3,2022
71,Washington SundarSRH,9,7,0,101,40,14.43,69,146.37,0,0,9,3,2022
72,Rashid KhanGT,16,8,4,91,40,22.75,44,206.81,0,0,3,9,2022
73,Sarfaraz KhanDC,6,5,2,91,36*,30.33,67,135.82,0,0,9,2,2022
74,Manish PandeyLSG,6,6,0,88,38,14.67,80,110.00,0,0,9,2,2022
75,Mahipal LomrorRCB,7,5,0,86,42,17.20,57,150.87,0,0,7,4,2022
76,Aaron FinchKKR,5,5,0,86,58,17.20,61,140.98,0,1,10,3,2022
77,Rahul ChaharPBKS,13,8,2,77,25*,12.83,68,113.23,0,0,7,4,2022
78,Evin LewisLSG,6,5,2,73,55*,24.33,56,130.35,0,1,8,3,2022
79,Sunil NarineKKR,14,10,2,71,22,8.88,40,177.50,0,0,6,6,2022
80,Shashank SinghSRH,10,5,1,69,25*,17.25,47,146.80,0,0,5,4,2022
81,Suyash S PrabhudessaiRCB,5,5,0,67,34,13.40,59,113.55,0,0,7,2,2022
82,Pat CumminsKKR,5,5,1,63,56*,15.75,24,262.50,0,1,5,6,2022
83,Jaydev UnadkatMI,5,5,2,59,19*,19.67,37,159.45,0,0,4,3,2022
84,Romario ShepherdSRH,3,3,1,58,26*,29.00,41,141.46,0,0,2,5,2022
85,Jason HolderLSG,12,8,2,58,16,9.67,44,131.81,0,0,2,6,2022
86,Umesh YadavKKR,12,7,3,55,21,13.75,40,137.50,0,0,4,4,2022
87,Odean SmithPBKS,6,6,3,51,25*,17.00,44,115.90,0,0,1,5,2022
88,Kagiso RabadaPBKS,13,8,3,48,25,9.60,43,111.62,0,0,5,2,2022
89,Kuldeep YadavDC,14,7,6,48,16*,48.00,52,92.30,0,0,3,2,2022
90,Priyam GargSRH,2,2,0,46,42,23.00,33,139.39,0,0,4,2,2022
91,Ramandeep SinghMI,5,4,2,45,14*,22.50,40,112.50,0,0,3,1,2022
92,Dwaine PretoriusCSK,6,5,1,44,22,11.00,28,157.14,0,0,3,3,2022
93,Dushmantha ChameeraLSG,12,8,4,43,17,10.75,28,153.57,0,0,3,3,2022
94,Harshal PatelRCB,15,8,3,43,11,8.60,39,110.25,0,0,4,2,2022
95,Hrithik ShokeenMI,5,3,1,43,25,21.50,48,89.58,0,0,5,0,2022
96,Trent BoultRR,16,8,6,40,17*,20.00,29,137.93,0,0,2,1,2022
97,Jagadeesan NarayanCSK,2,2,1,40,39*,40.00,37,108.10,0,0,3,1,2022
98,Daniel SamsMI,11,10,3,38,15,5.43,36,105.55,0,0,1,3,2022
99,Wanindu HasarangaRCB,16,7,0,38,18,5.43,43,88.37,0,0,4,1,2022
100,Rishi DhawanPBKS,6,4,2,37,21*,18.50,40,92.50,0,0,4,2,2022
101,Daryl MitchellRR,2,2,0,33,17,16.50,44,75.00,0,0,1,0,2022
102,Sherfane RutherfordRCB,3,2,0,33,28,16.50,50,66.00,0,0,1,1,2022
103,James NeeshamRR,2,2,0,31,17,15.50,27,114.81,0,0,3,0,2022
104,Mohammed SirajRCB,15,5,3,30,14*,15.00,33,90.90,0,0,5,0,2022
105,Tim SeifertDC,2,2,0,24,21,12.00,19,126.31,0,0,4,0,2022
106,Bhuvneshwar KumarSRH,14,6,3,24,8,8.00,26,92.30,0,0,3,0,2022
107,Mohsin KhanLSG,9,3,2,23,13*,23.00,16,143.75,0,0,2,1,2022
108,Dwayne BravoCSK,10,6,4,23,12,11.50,24,95.83,0,0,1,1,2022
109,Sheldon JacksonKKR,5,5,1,23,8,5.75,26,88.46,0,0,0,1,2022
110,Avesh KhanLSG,13,4,3,22,12,22.00,13,169.23,0,0,0,3,2022
111,Rassie van der DussenRR,3,3,1,22,12*,11.00,24,91.66,0,0,2,0,2022
112,Harpreet BrarPBKS,5,3,0,22,14,7.33,25,88.00,0,0,1,2,2022
113,Mitchell SantnerCSK,6,4,2,22,11,11.00,27,81.48,0,0,3,0,2022
114,Arshdeep SinghPBKS,14,6,3,21,10*,7.00,29,72.41,0,0,3,0,2022
115,B IndrajithKKR,3,3,0,21,15,7.00,30,70.00,0,0,2,0,2022
116,Manan VohraLSG,2,1,0,19,19,19.00,11,172.72,0,0,1,2,2022
117,Vijay ShankarGT,4,4,0,19,13,4.75,35,54.28,0,0,1,0,2022
118,Mandeep SinghDC,3,3,0,18,18,6.00,23,78.26,0,0,4,0,2022
119,Josh HazlewoodRCB,12,5,5,18,7*,-,26,69.23,0,0,1,0,2022
120,David WilleyRCB,4,2,0,18,18,9.00,30,60.00,0,0,3,0,2022
121,Karun NairRR,3,2,0,16,13,8.00,18,88.88,0,0,1,0,2022
122,Simran SinghPBKS,1,1,0,14,14,14.00,11,127.27,0,0,2,0,2022
123,Anmolpreet SinghMI,2,2,0,13,8,6.50,13,100.00,0,0,1,0,2022
124,Murugan AshwinMI,8,5,2,12,6,4.00,14,85.71,0,0,1,1,2022
125,Varun ChakaravarthyKKR,11,4,4,12,10*,-,18,66.66,0,0,2,0,2022
126,Chris JordanCSK,4,2,1,11,6*,11.00,8,137.50,0,0,0,0,2022
127,Rajangad BawaPBKS,2,2,0,11,11,5.50,14,78.57,0,0,1,0,2022
128,Shreyas GopalSRH,1,1,1,9,9*,-,7,128.57,0,0,2,0,2022
129,Marco JansenSRH,8,3,2,9,8*,9.00,7,128.57,0,0,0,1,2022
130,Obed McCoyRR,7,1,0,8,8,8.00,5,160.00,0,0,0,1,2022
131,Srikar BharatDC,2,2,0,8,8,4.00,7,114.28,0,0,2,0,2022
132,Fabian AllenMI,1,1,0,8,8,8.00,7,114.28,0,0,1,0,2022
133,Sean AbbottSRH,1,1,0,7,7,7.00,5,140.00,0,0,0,1,2022
134,Rasikh SalamKKR,2,1,0,7,7,7.00,6,116.66,0,0,1,0,2022
135,Kartik TyagiSRH,2,2,0,7,7,3.50,6,116.66,0,0,1,0,2022
136,Maheesh TheekshanaCSK,9,2,1,7,7*,7.00,7,100.00,0,0,0,1,2022
137,Simarjeet SinghCSK,6,3,2,7,3*,7.00,8,87.50,0,0,0,0,2022
138,Ripal PatelDC,2,1,0,6,6,6.00,3,200.00,0,0,0,1,2022
139,Mukesh ChoudharyCSK,13,2,1,6,4,6.00,6,100.00,0,0,1,0,2022
140,Prasidh KrishnaRR,17,3,2,6,4*,6.00,12,50.00,0,0,0,0,2022
141,Aman KhanKKR,1,1,0,5,5,5.00,3,166.66,0,0,1,0,2022
142,Lockie FergusonGT,13,3,1,5,5,2.50,4,125.00,0,0,1,0,2022
143,Alzarri JosephGT,9,3,2,5,4*,5.00,7,71.42,0,0,0,0,2022
144,Yuzvendra ChahalRR,17,2,1,5,5,5.00,8,62.50,0,0,0,0,2022
